Link,Flow (Mbps),Capacity (Mbps),Utilization (%)
1↔2,19.808604,45,44.01912
1↔3,7.6435472,45,16.985660444444445
1↔5,45.0000002,45,100.00000044444445
2↔6,45.0,45,100.0
3↔4,45.0,45,100.0
3↔14,25.9449812,45,57.65551377777778
5↔6,45.0,45,100.0
5↔9,45.0,45,100.0
6↔7,36.602868,45,81.33970666666667
6↔10,0.75358491,45,1.6746331333333333
4↔7,45.0,45,100.0
14↔13,29.7129059,45,66.02867977777778
7↔11,45.0,45,100.0
9↔8,0.75358491,45,1.6746331333333333
10↔8,0.75358491,45,1.6746331333333333
11↔13,29.7129059,45,66.02867977777778
