commodity,source,destination,flow
1,1,2,0.0
1,1,3,0.0
1,1,5,0.0
1,2,1,0.0
1,2,6,0.0
1,3,1,0.0
1,3,4,0.0
1,3,14,0.0
1,5,1,0.0
1,5,6,0.0
1,5,9,0.0
1,6,2,0.0
1,6,4,0.0
1,6,5,0.0
1,6,7,0.0
1,6,10,0.0
1,4,3,0.0
1,4,6,0.0
1,4,7,0.0
1,14,3,0.0
1,14,13,0.0
1,7,4,0.0
1,7,6,0.0
1,7,11,0.0
1,9,5,0.0
1,9,8,0.0
1,9,12,0.0
1,10,6,0.0
1,10,8,0.0
1,10,11,0.0
1,11,7,0.0
1,11,10,0.0
1,11,12,0.0
1,11,13,0.0
1,8,9,0.0
1,8,10,0.0
1,8,12,0.0
1,12,9,0.0
1,12,11,0.0
1,12,8,0.0
1,13,11,0.0
1,13,14,0.0
2,1,2,540.0
2,1,3,0.0
2,1,5,0.0
2,2,1,0.0
2,2,6,0.0
2,3,1,540.0
2,3,4,0.0
2,3,14,0.0
2,5,1,0.0
2,5,6,0.0
2,5,9,0.0
2,6,2,0.0
2,6,4,0.0
2,6,5,120.0
2,6,7,0.0
2,6,10,0.0
2,4,3,0.0
2,4,6,0.0
2,4,7,0.0
2,14,3,540.0
2,14,13,-420.0
2,7,4,0.0
2,7,6,0.0
2,7,11,0.0
2,9,5,0.0
2,9,8,0.0
2,9,12,0.0
2,10,6,0.0
2,10,8,0.0
2,10,11,0.0
2,11,7,0.0
2,11,10,0.0
2,11,12,0.0
2,11,13,0.0
2,8,9,0.0
2,8,10,0.0
2,8,12,0.0
2,12,9,0.0
2,12,11,0.0
2,12,8,0.0
2,13,11,0.0
2,13,14,0.0
3,1,2,-155.0
3,1,3,0.0
3,1,5,315.0
3,2,1,0.0
3,2,6,-155.0
3,3,1,0.0
3,3,4,0.0
3,3,14,0.0
3,5,1,0.0
3,5,6,0.0
3,5,9,0.0
3,6,2,0.0
3,6,4,0.0
3,6,5,0.0
3,6,7,-155.0
3,6,10,0.0
3,4,3,0.0
3,4,6,0.0
3,4,7,315.0
3,14,3,0.0
3,14,13,0.0
3,7,4,0.0
3,7,6,0.0
3,7,11,0.0
3,9,5,0.0
3,9,8,0.0
3,9,12,0.0
3,10,6,0.0
3,10,8,0.0
3,10,11,0.0
3,11,7,0.0
3,11,10,0.0
3,11,12,0.0
3,11,13,0.0
3,8,9,0.0
3,8,10,0.0
3,8,12,0.0
3,12,9,0.0
3,12,11,0.0
3,12,8,0.0
3,13,11,0.0
3,13,14,0.0
4,1,2,0.0
4,1,3,0.0
4,1,5,0.0
4,2,1,0.0
4,2,6,200.0
4,3,1,0.0
4,3,4,0.0
4,3,14,0.0
4,5,1,0.0
4,5,6,0.0
4,5,9,0.0
4,6,2,0.0
4,6,4,0.0
4,6,5,0.0
4,6,7,200.0
4,6,10,0.0
4,4,3,0.0
4,4,6,0.0
4,4,7,0.0
4,14,3,0.0
4,14,13,0.0
4,7,4,0.0
4,7,6,0.0
4,7,11,0.0
4,9,5,0.0
4,9,8,0.0
4,9,12,0.0
4,10,6,0.0
4,10,8,200.0
4,10,11,0.0
4,11,7,0.0
4,11,10,0.0
4,11,12,0.0
4,11,13,0.0
4,8,9,200.0
4,8,10,0.0
4,8,12,0.0
4,12,9,0.0
4,12,11,0.0
4,12,8,0.0
4,13,11,0.0
4,13,14,0.0
5,1,2,0.0
5,1,3,0.0
5,1,5,-270.0
5,2,1,0.0
5,2,6,0.0
5,3,1,-270.0
5,3,4,45.0
5,3,14,465.0
5,5,1,0.0
5,5,6,0.0
5,5,9,0.0
5,6,2,0.0
5,6,4,0.0
5,6,5,0.0
5,6,7,0.0
5,6,10,0.0
5,4,3,0.0
5,4,6,0.0
5,4,7,45.0
5,14,3,0.0
5,14,13,465.0
5,7,4,0.0
5,7,6,0.0
5,7,11,45.0
5,9,5,0.0
5,9,8,0.0
5,9,12,0.0
5,10,6,0.0
5,10,8,0.0
5,10,11,0.0
5,11,7,0.0
5,11,10,0.0
5,11,12,0.0
5,11,13,0.0
5,8,9,0.0
5,8,10,0.0
5,8,12,0.0
5,12,9,0.0
5,12,11,0.0
5,12,8,0.0
5,13,11,195.0
5,13,14,0.0
